id,iata_code,name,latitude_deg,longitude_deg,continent,iso_country,iso_region
1,UTK,Utirik Airport,11.222,169.852005,OC,MH,MH-UTI
2,OCA,Ocean Reef Club Airport,25.3253994,-80.27480316,NA,US,US-FL
3,PQS,Pilot Station Airport,61.934601,-162.899994,NA,US,US-AK
4,CSE,Crested Butte Airpark,38.851918,-106.928341,NA,US,US-CO
5,JCY,LBJ Ranch Airport,30.25180054,-98.62249756,NA,US,US-TX
6,PMX,Metropolitan Airport,42.22330093,-72.31140137,NA,US,US-MA
7,WLR,Loring Seaplane Base,55.60129929,-131.6369934,NA,US,US-AK
8,NUP,Nunapitchuk Airport,60.905591,-162.440454,NA,US,US-AK
9,PTC,Port Alice Seaplane Base,55.803,-133.597,NA,US,US-AK
10,ICY,Icy Bay Airport,59.966269,-141.660118,NA,US,US-AK
11,PPV,Port Protection Seaplane Base,56.3288002,-133.6100006,NA,US,US-AK
12,KKK,Kalakaket Creek AS Airport,64.4166257,-156.8203926,NA,US,US-AK
13,MHS,Dunsmuir Muni-Mott Airport,41.263199,-122.272003,NA,US,US-CA
14,NIR,Chase Field Industrial Airport,28.362444,-97.661917,NA,US,US-TX
15,GCT,Grand Canyon Bar Ten Airstrip,36.258614,-113.231159,NA,US,US-AZ
16,ELW,Ellamar Seaplane Base,60.893818,-146.704038,NA,US,US-AK
17,LVD,Lime Village Airport,61.35910034,-155.4400024,NA,US,US-AK
18,HGZ,Hog River Airport,66.2161026,-155.6690063,NA,US,US-AK
19,OTN,Ed-Air Airport,38.85139847,-87.49970245,NA,US,US-IN
20,TLF,Telida Airport,63.39390182,-153.2689972,NA,US,US-AK
21,BZT,Eagle Air Park,28.98220062,-95.57969666,NA,US,US-TX
22,HBH,Entrance Island Seaplane Base,57.412201,-133.43848,NA,US,US-AK
23,FAK,False Island Seaplane Base,57.53219986,-135.2129974,NA,US,US-AK
24,BYW,Blakely Island Airport,48.57899857,-122.8259964,NA,US,US-WA
25,DRF,Drift River Airport,60.58890152,-152.1620026,NA,US,US-AK
26,BDF,Rinkenberger Restricted Landing Area,41.23089981,-89.61569977,NA,US,US-IL
27,VRS,Roy Otten Memorial Airfield,38.42779922,-92.87519836,NA,US,US-MO
28,GDH,Golden Horn Lodge Seaplane Base,59.74700165,-158.875,NA,US,US-AK
29,ATT,Atmautluak Airport,60.866699,-162.272995,NA,US,US-AK
30,LIV,Livengood Camp Airport,65.467,-148.6534,NA,US,US-AK
31,PDB,Pedro Bay Airport,59.78960037,-154.1239929,NA,US,US-AK
32,KOZ,Ouzinkie Airport,57.925362,-152.496715,NA,US,US-AK
33,TNK,Tununak Airport,60.57550049,-165.2720032,NA,US,US-AK
34,EVA,Ben Bruce Memorial Airpark,30.32099915,-94.07350159,NA,US,US-TX
35,WHD,Hyder Seaplane Base,55.903324,-130.009975,NA,US,US-AK
36,MNT,Minto Al Wright Airport,65.1437,-149.369995,NA,US,US-AK
37,TKI,Tokeen Seaplane Base,55.93709946,-133.3269959,NA,US,US-AK
38,WKK,Aleknagik / New Airport,59.2826004,-158.6179962,NA,US,US-AK
39,WFB,Ketchikan Harbor Seaplane Base,55.349899,-131.677002,NA,US,US-AK
40,NNK,Naknek Airport,58.73289871,-157.0200043,NA,US,US-AK
41,BKF,Lake Brooks Seaplane Base,58.55479813,-155.7769928,NA,US,US-AK
42,BCS,Southern Seaplane Airport,29.86610031,-90.02220154,NA,US,US-LA
43,SPQ,Catalina Air-Sea Terminal Heliport,33.74919891,-118.2750015,NA,US,US-CA
44,TSS,East 34th Street Heliport,40.74259949,-73.9720993,NA,US,US-NY
45,QNY,New York Skyports Inc Seaplane Base,40.734001,-73.9729,NA,US,US-NY
46,BWL,Earl Henry Airport,36.79589844,-97.31700134,NA,US,US-OK
47,WYB,Yes Bay Lodge Seaplane Base,55.91630173,-131.8009949,NA,US,US-AK
48,CWS,Center Island Airport,48.49010086,-122.8320007,NA,US,US-WA
49,TEK,Tatitlek Airport,60.871449,-146.690297,NA,US,US-AK
50,DUF,Pine Island Airport,36.25350189,-75.78849792,NA,US,US-NC
51,SSW,Stuart Island Airpark,48.673379,-123.175439,NA,US,US-WA
52,FOB,Fort Bragg Airport,39.47430038,-123.7959976,NA,US,US-CA
53,PUL,Port of Poulsbo Marina Moorage Seaplane Base,47.73400116,-122.6470032,NA,US,US-WA
54,CCD,Century City Heliport,34.06079865,-118.4179993,NA,US,US-CA
55,WMK,Meyers Chuck Seaplane Base,55.73960114,-132.2550049,NA,US,US-AK
56,AXB,Maxson Airfield,44.312002,-75.90034,NA,US,US-NY
57,REE,Reese Airpark,33.59030151,-102.0370026,NA,US,US-TX
58,WDN,Waldron Airstrip,48.7118,-123.017998,NA,US,US-WA
59,WWP,Whale Pass Seaplane Float Harbor Facility,56.116299,-133.121994,NA,US,US-AK
60,CHU,Chuathbaluk Airport,61.579102,-159.216003,NA,US,US-AK
61,UGS,Ugashik Airport,57.5279007,-157.3990021,NA,US,US-AK
